2015-10-22T05:35:00.000,fascia5-11,Heavy Traffic:287/Other:57/Mechanical Problem:25,fascia12-19,Heavy Traffic:36/Other:22/Mechanical Problem:20
2015-10-23T05:40:00.000,fascia5-11,Heavy Traffic:358/Other:94/Mechanical Problem:22,fascia12-19,Late return from Field Trip:32/Heavy Traffic:29/Other:22
2015-10-26T05:20:00.000,fascia5-11,Heavy Traffic:233/Other:95/Mechanical Problem:24,fascia12-19,Heavy Traffic:18/Other:13/Late return from Field Trip:8
2015-10-27T05:49:00.000,fascia5-11,Heavy Traffic:199/Other:54/Mechanical Problem:22,fascia12-19,Heavy Traffic:14/Other:13/Mechanical Problem:13
2015-10-28T05:45:00.000,fascia5-11,Heavy Traffic:193/Other:68/Mechanical Problem:24,fascia12-19,Heavy Traffic:39/Late return from Field Trip:20/Other:14
2015-10-29T05:16:00.000,fascia5-11,Heavy Traffic:276/Other:66/Mechanical Problem:25,fascia12-19,Heavy Traffic:18/Mechanical Problem:12/Other:10
2015-10-30T05:35:00.000,fascia5-11,Heavy Traffic:168/Other:43/Mechanical Problem:25,fascia12-19,Heavy Traffic:22/Late return from Field Trip:6/Other:6
2015-11-02T05:51:00.000,fascia5-11,Heavy Traffic:167/Other:61/Mechanical Problem:28,fascia12-19,Heavy Traffic:13/Won`t Start:13/Other:7
2015-11-03T05:27:00.000,fascia5-11,Heavy Traffic:20/Other:14/Mechanical Problem:5,fascia12-19,Heavy Traffic:3/Mechanical Problem:3/Accident:1
2015-11-04T05:05:00.000,fascia5-11,Heavy Traffic:190/Other:55/Mechanical Problem:24,fascia12-19,Heavy Traffic:13/Other:13/Mechanical Problem:7
2015-11-05T06:00:00.000,fascia5-11,Heavy Traffic:226/Other:43/Mechanical Problem:29,fascia12-19,Heavy Traffic:14/Other:14/Mechanical Problem:5
2015-11-06T05:55:00.000,fascia5-11,Heavy Traffic:170/Other:47/Mechanical Problem:14,fascia12-19,Other:14/Late return from Field Trip:12/Mechanical Problem:11
2015-11-09T05:20:00.000,fascia5-11,Heavy Traffic:197/Other:51/Mechanical Problem:24,fascia12-19,Other:18/Heavy Traffic:16/Late return from Field Trip:10
2015-11-10T06:05:00.000,fascia5-11,Heavy Traffic:233/Other:73/Mechanical Problem:17,fascia12-19,Heavy Traffic:19/Other:12/Weather Conditions:5
2015-11-12T05:49:00.000,fascia5-11,Heavy Traffic:214/Other:56/Mechanical Problem:39,fascia12-19,Other:16/Mechanical Problem:14/Late return from Field Trip:13
2015-11-13T05:57:00.000,fascia5-11,Heavy Traffic:220/Other:59/Mechanical Problem:15,fascia12-19,Heavy Traffic:43/Other:18/Late return from Field Trip:16
2015-11-16T05:38:00.000,fascia5-11,Heavy Traffic:179/Other:67/Mechanical Problem:32,fascia12-19,Other:22/Heavy Traffic:14/Mechanical Problem:12
2015-11-17T05:32:00.000,fascia5-11,Heavy Traffic:222/Other:72/Mechanical Problem:17,fascia12-19,Heavy Traffic:14/Other:13/Mechanical Problem:9
2015-11-18T05:07:00.000,fascia5-11,Heavy Traffic:150/Other:49/Mechanical Problem:10,fascia12-19,Heavy Traffic:21/Other:17/Late return from Field Trip:7
2015-11-19T05:45:00.000,fascia5-11,Heavy Traffic:146/Other:49/Mechanical Problem:25,fascia12-19,Heavy Traffic:24/Other:22/Late return from Field Trip:10
2015-11-20T06:04:00.000,fascia5-11,Heavy Traffic:141/Other:50/Mechanical Problem:14,fascia12-19,Heavy Traffic:21/Other:18/Mechanical Problem:4
2015-11-23T05:30:00.000,fascia5-11,Heavy Traffic:205/Other:62/Mechanical Problem:44,fascia12-19,Heavy Traffic:27/Other:15/Flat Tire:8
2015-11-24T05:38:00.000,fascia5-11,Heavy Traffic:290/Other:42/Mechanical Problem:20,fascia12-19,Heavy Traffic:30/Other:16/Late return from Field Trip:12
2015-11-25T05:35:00.000,fascia5-11,Heavy Traffic:157/Other:31/Mechanical Problem:12,fascia12-19,Heavy Traffic:24/Late return from Field Trip:9/Other:9
2015-11-27T07:44:00.000,fascia5-11,Heavy Traffic:1,fascia12-19,
2015-11-30T05:53:00.000,fascia5-11,Heavy Traffic:254/Other:69/Mechanical Problem:28,fascia12-19,Heavy Traffic:26/Other:24/Mechanical Problem:9
2015-12-01T05:25:00.000,fascia5-11,Heavy Traffic:264/Weather Conditions:53/Other:36,fascia12-19,Heavy Traffic:21/Late return from Field Trip:12/Mechanical Problem:10
2015-12-02T05:15:00.000,fascia5-11,Heavy Traffic:240/Other:56/Weather Conditions:27,fascia12-19,Heavy Traffic:43/Other:19/Late return from Field Trip:14
2015-12-03T05:06:00.000,fascia5-11,Heavy Traffic:168/Other:39/Mechanical Problem:23,fascia12-19,Heavy Traffic:15/Late return from Field Trip:8/Other:7
2015-12-04T05:15:00.000,fascia5-11,Heavy Traffic:178/Other:55/Mechanical Problem:16,fascia12-19,Heavy Traffic:21/Other:7/Won`t Start:5
2015-12-07T05:46:00.000,fascia5-11,Heavy Traffic:204/Other:62/Mechanical Problem:20,fascia12-19,Heavy Traffic:19/Other:13/Mechanical Problem:11
2015-12-08T05:50:00.000,fascia5-11,Heavy Traffic:217/Other:47/Mechanical Problem:13,fascia12-19,Heavy Traffic:49/Other:13/Mechanical Problem:9
2015-12-09T05:47:00.000,fascia5-11,Heavy Traffic:178/Other:52/Mechanical Problem:17,fascia12-19,Heavy Traffic:21/Late return from Field Trip:17/Other:15
2015-12-10T05:32:00.000,fascia5-11,Heavy Traffic:183/Other:39/Mechanical Problem:19,fascia12-19,Heavy Traffic:47/Late return from Field Trip:13/Mechanical Problem:12
2015-12-11T05:25:00.000,fascia5-11,Heavy Traffic:181/Other:41/Mechanical Problem:17,fascia12-19,Heavy Traffic:29/Other:11/Mechanical Problem:9
2015-12-14T05:23:00.000,fascia5-11,Heavy Traffic:179/Other:62/Mechanical Problem:20,fascia12-19,Heavy Traffic:16/Other:12/Late return from Field Trip:8
2015-12-15T05:15:00.000,fascia5-11,Heavy Traffic:147/Other:42/Mechanical Problem:24,fascia12-19,Heavy Traffic:13/Late return from Field Trip:9/Mechanical Problem:9
2015-12-16T05:20:00.000,fascia5-11,Heavy Traffic:161/Other:39/Mechanical Problem:12,fascia12-19,Heavy Traffic:14/Mechanical Problem:12/Late return from Field Trip:7
2015-12-17T05:40:00.000,fascia5-11,Heavy Traffic:172/Other:41/Problem Run:19,fascia12-19,Heavy Traffic:32/Late return from Field Trip:18/Other:14
2015-12-18T05:40:00.000,fascia5-11,Heavy Traffic:134/Other:43/Mechanical Problem:17,fascia12-19,Late return from Field Trip:30/Other:24/Heavy Traffic:22
2015-12-21T05:37:00.000,fascia5-11,Heavy Traffic:134/Other:46/Mechanical Problem:20,fascia12-19,Heavy Traffic:13/Mechanical Problem:11/Other:9
2015-12-22T05:41:00.000,fascia5-11,Heavy Traffic:133/Other:37/Weather Conditions:13,fascia12-19,Heavy Traffic:36/Other:11/Late return from Field Trip:9
2015-12-23T05:30:00.000,fascia5-11,Heavy Traffic:77/Other:33/Weather Conditions:21,fascia12-19,Heavy Traffic:19/Weather Conditions:7/Other:6
2015-12-24T06:52:00.000,fascia5-11,Heavy Traffic:2,fascia12-19,
2015-12-28T06:50:00.000,fascia5-11,Other:3/Mechanical Problem:2/Heavy Traffic:2,fascia12-19,Other:1
2015-12-29T07:48:00.000,fascia5-11,Weather Conditions:2/Mechanical Problem:1,fascia12-19,Other:1
2015-12-30T06:50:00.000,fascia5-11,Heavy Traffic:3,fascia12-19,Heavy Traffic:1
2015-12-31T08:25:00.000,fascia5-11,Mechanical Problem:1,fascia12-19,Heavy Traffic:2
2016-01-04T05:25:00.000,fascia5-11,Heavy Traffic:219/Other:88/Won`t Start:40,fascia12-19,Heavy Traffic:19/Mechanical Problem:13/Other:13
2016-01-05T05:40:00.000,fascia5-11,Heavy Traffic:222/Other:101/Mechanical Problem:75,fascia12-19,Mechanical Problem:19/Other:12/Heavy Traffic:8
2016-01-06T05:45:00.000,fascia5-11,Heavy Traffic:141/Other:57/Mechanical Problem:37,fascia12-19,Mechanical Problem:17/Heavy Traffic:15/Won`t Start:11
2016-01-07T05:49:00.000,fascia5-11,Heavy Traffic:157/Other:53/Mechanical Problem:21,fascia12-19,Heavy Traffic:36/Other:15/Mechanical Problem:9
2016-01-08T05:59:00.000,fascia5-11,Heavy Traffic:184/Other:60/Problem Run:18,fascia12-19,Won`t Start:10/Heavy Traffic:7/Mechanical Problem:6
2016-01-11T05:20:00.000,fascia5-11,Heavy Traffic:156/Other:50/Mechanical Problem:20,fascia12-19,Heavy Traffic:6/Won`t Start:5/Other:3
2016-01-12T05:39:00.000,fascia5-11,Heavy Traffic:343/Other:73/Mechanical Problem:26,fascia12-19,Other:12/Mechanical Problem:10/Heavy Traffic:8
